                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4646,                 3.9093,                  2.487,                0.01614,                0.04615,                0.00701,                0.00232,                 3.2131,                 3.5106,                 2.2778,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.2129,                 2.9254,                 2.2395,                0.01037,                0.22564,                0.00629,                0.00226,                 3.0607,                 52.032,                 2.2356,             0.00021782,             0.00021782,             0.00021782
                      3,                 2.9174,                 2.3717,                 1.9343,                0.02062,                0.26154,                0.01465,                0.00502,                 2.8683,                 45.942,                 2.1596,             0.00033327,             0.00033327,             0.00033327
                      4,                 2.8817,                 2.5535,                  1.946,                0.02418,                0.29231,                0.01658,                0.00515,                 2.8488,                 18.377,                 2.0676,             0.00044634,             0.00044634,             0.00044634
                      5,                  2.819,                 2.4158,                 1.8962,                0.06856,                0.14359,                0.02819,                0.00988,                 3.1321,                 3.5385,                 2.8673,             0.00055703,             0.00055703,             0.00055703
                      6,                  2.867,                 2.2219,                 1.9463,                 0.0311,                0.22564,                0.01744,                0.00574,                  2.837,                 33.905,                  2.361,             0.00066535,             0.00066535,             0.00066535
                      7,                 2.8169,                  2.152,                 1.9027,                 0.0172,                0.28718,                0.01112,                0.00383,                 2.9714,                 30.453,                 2.4902,             0.00077129,             0.00077129,             0.00077129
                      8,                 2.9483,                 2.1673,                 1.9367,                0.00475,                0.10256,                0.00259,                0.00085,                 3.5938,                    inf,                 17.566,             0.00087486,             0.00087486,             0.00087486
                      9,                 2.8219,                 2.2054,                 1.9282,                0.00907,                0.25128,                0.00589,                0.00206,                    nan,                    nan,                    nan,             0.00097605,             0.00097605,             0.00097605
                     10,                 2.8345,                 2.1079,                 1.8979,                0.00074,                0.02051,                0.00039,                  6e-05,                    nan,                    nan,                    nan,              0.0010749,              0.0010749,              0.0010749
                     11,                 2.7478,                 2.1266,                 1.8718,                 0.0013,                 0.0359,                0.00069,                0.00027,                    nan,                    nan,                    nan,              0.0011713,              0.0011713,              0.0011713
                     12,                 2.7724,                 2.0468,                 1.8258,                0.00111,                0.03077,                0.00059,                0.00015,                    nan,                    nan,                    nan,              0.0012654,              0.0012654,              0.0012654
                     13,                 2.7565,                 2.0901,                 1.9113,                0.00093,                0.02564,                0.00048,                0.00014,                    nan,                    nan,                    nan,               0.001357,               0.001357,               0.001357
                     14,                 2.7541,                 2.0492,                 1.8818,                0.00778,                0.12821,                0.00446,                0.00131,                 3.6762,                 55.639,                  5.223,              0.0014464,              0.0014464,              0.0014464
                     15,                 2.7492,                 2.0932,                 1.8644,                 0.0175,                0.22051,                0.00913,                 0.0027,                 3.4331,                 36.239,                 3.6354,              0.0015333,              0.0015333,              0.0015333
                     16,                 2.8261,                 2.1249,                  1.872,                0.00208,                0.05641,                0.00108,                0.00033,                  4.409,                    inf,                 8.4299,              0.0016179,              0.0016179,              0.0016179
                     17,                  2.753,                 2.0457,                 1.8392,                0.01843,                0.13846,                0.01012,                0.00278,                 3.3807,                  18.22,                 3.0194,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.7224,                 2.0295,                 1.8491,                0.03747,                0.12308,                0.01381,                0.00376,                 3.5052,                 9.4995,                 3.5596,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.7388,                  2.006,                 1.8711,                0.04955,                0.04615,                0.00786,                0.00255,                 3.7147,                 6.9337,                  3.721,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.7358,                 2.0768,                 1.8976,                0.07713,                0.10256,                0.03045,                0.00772,                 3.1796,                 3.3413,                 2.8833,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.6963,                 1.9833,                 1.7847,                0.02731,                0.06667,                0.01004,                0.00322,                 3.3811,                 3.6296,                 3.3555,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.6972,                 2.0273,                 1.8097,                0.06615,                0.14872,                0.02772,                0.00744,                 3.1493,                 3.3593,                 2.7207,               0.001604,               0.001604,               0.001604
                     23,                 2.7243,                 1.9781,                 1.7973,                0.07552,                0.12308,                0.02936,                0.00766,                 3.0972,                 3.7218,                 2.5623,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.6802,                 2.0294,                 1.8132,                0.07118,                0.08205,                0.02684,                0.00775,                 3.0709,                 3.0347,                 2.4858,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.6449,                 2.0523,                 1.8963,                0.04888,                0.13916,                0.02264,                0.00641,                  3.151,                 3.6114,                 2.5526,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.6392,                 2.0248,                 1.8758,                0.02589,                0.25641,                0.01618,                 0.0053,                 3.0682,                 5.4508,                 2.6037,              0.0015248,              0.0015248,              0.0015248
                     27,                  2.635,                 2.0026,                 1.8927,                0.02323,                0.29744,                0.01405,                0.00438,                 3.0928,                  10.17,                 2.7443,               0.001505,               0.001505,               0.001505
                     28,                 2.6679,                 2.0372,                 1.8439,                0.01435,                0.22564,                0.00931,                0.00318,                 2.9881,                  13.77,                 2.5715,              0.0014852,              0.0014852,              0.0014852
                     29,                 2.5892,                 1.9532,                 1.7843,                0.04047,                0.13757,                0.01972,                0.00657,                 3.0101,                 4.4372,                  2.531,              0.0014654,              0.0014654,              0.0014654
                     30,                  2.572,                 1.9191,                 1.7708,                0.12521,                0.08205,                0.04789,                 0.0123,                 3.0784,                 3.9061,                 2.4775,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.5487,                 1.9099,                 1.7382,                0.09596,                0.16923,                0.05945,                 0.0164,                 2.9531,                 3.5645,                 2.4714,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.5566,                 1.9369,                 1.8025,                0.09698,                0.17436,                0.06349,                 0.0178,                 3.0146,                  3.476,                 2.4419,               0.001406,               0.001406,               0.001406
                     33,                  2.584,                 1.9347,                 1.7895,                0.09204,                0.14359,                0.05799,                0.01744,                 3.0346,                 3.2637,                    2.4,              0.0013862,              0.0013862,              0.0013862
                     34,                 2.5528,                 1.8779,                 1.7205,                0.16604,                0.06667,                0.05626,                0.01496,                  3.104,                 3.1358,                 2.3975,              0.0013664,              0.0013664,              0.0013664
                     35,                 2.4854,                 1.9196,                 1.7276,                0.12014,                0.11282,                0.06593,                0.01608,                 2.9863,                 2.7636,                 2.3289,              0.0013466,              0.0013466,              0.0013466
                     36,                 2.5504,                 1.8737,                 1.7482,                0.06647,                0.07179,                0.02793,                0.00694,                 3.2947,                 3.6186,                 2.5739,              0.0013268,              0.0013268,              0.0013268
                     37,                 2.4835,                 1.8836,                 1.7572,                0.06656,                0.10769,                0.03328,                 0.0085,                 3.1505,                  3.145,                 2.4365,               0.001307,               0.001307,               0.001307
                     38,                 2.4845,                 1.8556,                 1.7328,                0.15841,                0.09744,                0.06335,                0.01758,                  3.049,                 2.7101,                 2.3111,              0.0012872,              0.0012872,              0.0012872
                     39,                 2.4557,                 1.8625,                 1.7365,                0.13503,                 0.1641,                0.06565,                0.01768,                 2.8739,                 2.7246,                 2.2292,              0.0012674,              0.0012674,              0.0012674
                     40,                 2.4471,                 1.8627,                 1.7164,                0.09231,                0.16923,                0.05319,                0.01431,                 2.8051,                 2.6081,                 2.2612,              0.0012476,              0.0012476,              0.0012476
                     41,                 2.4827,                 1.8149,                 1.7114,                0.10043,                0.16923,                0.04666,                0.01376,                 2.7636,                 2.6218,                 2.2413,              0.0012278,              0.0012278,              0.0012278
                     42,                 2.4534,                 1.8058,                 1.6804,                0.12737,                0.22051,                0.06453,                0.01677,                 2.7683,                 2.6285,                 2.2722,               0.001208,               0.001208,               0.001208
                     43,                 2.3432,                 1.7733,                   1.69,                0.11607,                0.16923,                 0.0712,                0.01734,                 2.8256,                 2.6371,                 2.3177,              0.0011882,              0.0011882,              0.0011882
                     44,                 2.4157,                 1.7747,                 1.6625,                 0.1031,                0.13333,                 0.0592,                0.01505,                 2.9183,                 2.9105,                 2.2668,              0.0011684,              0.0011684,              0.0011684
                     45,                 2.4154,                  1.765,                 1.6565,                0.10675,                0.16923,                0.05397,                0.01395,                 2.8843,                 3.0512,                 2.2839,              0.0011486,              0.0011486,              0.0011486
                     46,                 2.3948,                 1.7338,                 1.6713,                0.10888,                 0.1641,                0.06561,                0.01499,                 2.8926,                 2.8322,                 2.3213,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.3406,                 1.7147,                 1.6537,                 0.0775,                0.12821,                0.05662,                0.01552,                 3.0756,                 3.0823,                 2.3556,               0.001109,               0.001109,               0.001109
                     48,                 2.4358,                 1.7954,                 1.6644,                 0.1037,                0.10256,                0.04862,                0.01525,                 2.9662,                 2.9702,                 2.2887,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.3297,                 1.7226,                  1.635,                0.09501,                0.13846,                0.04915,                0.01492,                 2.9326,                 3.0564,                 2.2402,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.3034,                 1.7269,                 1.6323,                0.11696,                0.14872,                0.05605,                 0.0145,                 3.0031,                 2.9519,                 2.3128,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.2449,                 1.6407,                 1.5832,                0.11838,                0.13333,                0.06416,                0.01599,                 3.0034,                 2.7641,                 2.3459,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.2917,                 1.6634,                 1.6294,                0.10049,                 0.1641,                0.06306,                0.01606,                 2.9339,                 2.5629,                  2.334,                0.00101,                0.00101,                0.00101
                     53,                 2.2167,                 1.6516,                 1.6243,                0.10489,                0.15897,                0.06116,                0.01725,                 2.9398,                 2.6309,                 2.3107,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.3002,                 1.6637,                 1.5797,                0.07935,                0.09744,                0.03349,                0.00953,                 3.1435,                 2.9958,                  2.413,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.2684,                 1.6994,                 1.6224,                 0.1336,                0.11282,                0.04355,                0.01053,                 3.1506,                 2.9992,                 2.4384,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.2726,                 1.5913,                 1.5803,                0.09248,                0.08718,                0.03952,                0.00939,                 3.1894,                 3.3122,                 2.4359,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.2198,                  1.573,                 1.5711,                0.07602,                0.09744,                0.03384,                0.00845,                  3.178,                  3.234,                  2.414,               0.000911,               0.000911,               0.000911
                     58,                 2.2264,                 1.6095,                 1.5822,                0.09761,                0.19487,                0.05672,                 0.0167,                 3.0198,                 2.6985,                 2.2717,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.1843,                 1.5483,                 1.5445,                0.11002,                0.13333,                0.05377,                0.01713,                 2.9609,                 2.5742,                 2.2978,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.1819,                 1.5809,                  1.512,                0.08883,                0.13333,                0.04686,                0.01292,                 2.9318,                 2.7303,                 2.2798,              0.0008516,              0.0008516,              0.0008516
                     61,                  2.185,                 1.6488,                 1.5939,                0.08648,                0.12821,                0.04702,                0.01242,                 2.9744,                 2.7481,                 2.3133,              0.0008318,              0.0008318,              0.0008318
                     62,                  2.145,                 1.5423,                 1.5397,                0.10927,                0.15385,                0.05217,                0.01407,                 2.9368,                  2.723,                 2.3209,               0.000812,               0.000812,               0.000812
                     63,                  2.152,                 1.4978,                 1.5253,                0.17058,                0.12821,                0.06236,                  0.017,                 2.9199,                 2.7084,                 2.3118,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.1454,                  1.517,                 1.5216,                0.10761,                0.12821,                0.04633,                0.01317,                 3.0466,                  2.854,                 2.3349,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.0941,                 1.5196,                 1.5251,                0.11842,                0.20513,                0.06318,                0.01688,                 2.9879,                 2.6934,                 2.2981,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.1504,                 1.4771,                 1.5179,                0.10907,                0.14359,                0.04777,                0.01272,                 3.0201,                 2.9675,                  2.297,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.0888,                 1.5093,                 1.5068,                0.10481,                0.17949,                0.04815,                0.01309,                 3.0554,                 2.8152,                 2.3273,               0.000713,               0.000713,               0.000713
                     68,                 1.9909,                 1.4108,                  1.448,                0.11408,                0.13846,                0.04773,                0.01292,                 2.9861,                 2.7267,                 2.3248,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.0503,                 1.4557,                 1.5018,                0.10211,                0.15897,                0.05171,                0.01447,                 2.9101,                 2.6966,                 2.2784,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.9881,                 1.3768,                  1.436,                0.07934,                0.14872,                0.04694,                 0.0138,                 3.0084,                 2.7259,                 2.3409,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.9786,                 1.4055,                  1.478,                 0.0874,                0.15126,                0.04783,                0.01291,                 3.0132,                 2.7655,                 2.3665,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.9982,                 1.3867,                 1.4541,                0.08551,                0.08488,                0.03594,                0.01061,                 3.0737,                 2.7359,                 2.4113,               0.000614,               0.000614,               0.000614
                     73,                 2.0108,                 1.3875,                 1.4592,                0.07143,                0.16923,                0.04119,                0.01101,                 2.9618,                 2.6724,                 2.3594,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.9198,                 1.3385,                 1.4331,                0.08773,                0.15897,                0.05664,                  0.014,                 2.9638,                 2.6433,                 2.4011,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.8958,                 1.3037,                 1.4025,                  0.085,                0.14359,                0.05682,                0.01433,                 2.9615,                 2.6309,                 2.3926,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.9622,                 1.3351,                 1.4373,                0.08804,                0.14407,                0.04935,                0.01455,                 3.0228,                 2.7343,                 2.3743,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.9163,                 1.2982,                 1.3963,                0.12522,                0.13333,                0.06543,                0.01692,                 2.9724,                 2.7055,                 2.3653,               0.000515,               0.000515,               0.000515
                     78,                  1.907,                  1.303,                 1.4003,                0.09102,                0.15897,                0.05273,                0.01596,                 2.9767,                  2.759,                  2.338,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8975,                 1.3104,                 1.4233,                0.10346,                0.13333,                0.04896,                0.01416,                 3.0165,                 2.7801,                 2.3506,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.8709,                 1.2866,                 1.3915,                0.09021,                0.15385,                0.05383,                0.01443,                 3.0648,                 2.6789,                 2.3963,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.9293,                 1.3322,                 1.4514,                0.09852,                0.13846,                0.05794,                0.01669,                 2.9547,                 2.6102,                 2.3583,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.868,                 1.2513,                 1.3826,                 0.1015,                0.11795,                0.05454,                0.01554,                 2.9199,                 2.6553,                 2.3442,               0.000416,               0.000416,               0.000416
                     83,                 1.8412,                 1.2458,                 1.3724,                0.10939,                0.12472,                 0.0454,                0.01393,                 2.9937,                  2.672,                  2.385,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8991,                 1.2383,                 1.3463,                0.09635,                0.13846,                0.03883,                0.01105,                 3.1361,                 2.8487,                 2.4452,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.8423,                 1.2397,                 1.3563,                0.09528,                0.15385,                0.04599,                0.01221,                 3.1334,                 2.8658,                 2.4444,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.885,                 1.2456,                 1.3723,                0.12797,                0.11795,                0.05438,                0.01371,                 3.1004,                 2.7509,                 2.3912,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8613,                 1.2555,                 1.3961,                 0.1832,                0.08718,                0.05157,                0.01313,                 3.1527,                 2.7168,                 2.4129,               0.000317,               0.000317,               0.000317
                     88,                 1.7985,                 1.2028,                 1.3385,                0.17188,                 0.1075,                0.05767,                0.01512,                 3.1692,                 2.6641,                 2.4144,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7709,                 1.1722,                 1.3352,                0.14855,                0.10256,                0.04912,                0.01347,                 3.1932,                 2.6661,                 2.4776,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.7821,                 1.2028,                 1.3641,                0.10648,                0.15385,                 0.0525,                0.01386,                 3.1818,                  2.645,                   2.52,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.7868,                 1.3166,                 1.3579,                0.10496,                0.17436,                0.05322,                0.01291,                  3.173,                 2.6621,                 2.5199,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.8175,                 1.2448,                 1.3688,                0.08577,                0.10769,                0.05318,                 0.0121,                 3.1704,                 2.6635,                   2.52,               0.000218,               0.000218,               0.000218
                     93,                 1.7341,                 1.1824,                 1.3551,                0.08622,                0.09744,                0.05378,                0.01262,                 3.1995,                 2.6268,                 2.5372,              0.0001982,              0.0001982,              0.0001982
